"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1";"Diode_1N4148WS";1;"1N4148WS";;;
2;"J1,J5";"PinSocket_2x03_P2.54mm_Vertical";2;"Conn_02x03_Top_Bottom";;;
3;"RV1,RV2";"Potentiometer_Bourns_3386P_Vertical";2;"20K";;;
4;"J3";"Terminal_Strip_4_Pin";1;"Screw_Terminal_01x04";;;
5;"R11";"R_0603_1608Metric";1;"20K";;;
6;"TP2";"TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded";1;".75 Vdc";;;
7;"TP1";"TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded";1;".55 Vdc";;;
8;"R13,R19,R23,R12,R17,R3,R21";"R_0603_1608Metric";7;"10K";;;
9;"R15";"R_0603_1608Metric";1;"110K";;;
10;"C8,C3,C7,C5,C4,C10,C11";"C_0603_1608Metric";7;"0.1uF";;;
11;"R16,R5,R20,R7";"R_0603_1608Metric";4;"80.6K";;;
12;"U1,U2";"SOIC-14_3.9x8.7mm_P1.27mm";2;"LM324";;;
13;"R10";"R_0603_1608Metric";1;"30.1K";;;
14;"R14,R22";"R_0603_1608Metric";2;"1M";;;
15;"R24";"R_0603_1608Metric";1;"16.2K";;;
16;"R18,R8";"R_0603_1608Metric";2;"22K";;;
17;"R1";"R_0603_1608Metric";1;"187K";;;
18;"R6,R9";"R_0603_1608Metric";2;"4.7K";;;
19;"R2";"R_0603_1608Metric";1;"25.5K";;;
20;"R25";"R_0603_1608Metric";1;"3.65K";;;
21;"C6";"C_0603_1608Metric";1;"0.002uF";;;
22;"R4";"R_0603_1608Metric";1;"1.82K";;;
23;"SW1";"SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm";1;"SW_DIP_x04";;;
24;"C1,C2";"CP_Radial_D10.0mm_P5.00mm";2;"330uF";;;
25;"J4";"DIN_5_PIN";1;"DIN-5";;;
26;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
27;"R28,R29,R26,R27";"R_0603_1608Metric";4;"10k";;;
28;"U3";"DGS0010A_N";1;"ADS1015IDGSR";;;
29;"C9";"C_0603_1608Metric";1;"1uF";;;
30;"R30";"R_0603_1608Metric";1;"3.9M";;;
